,State,Population (2019),Total Murders (2019)
0,Alabama,4903185.0,4.0
1,Alaska,731545.0,69.0
2,Arizona,7278717.0,337.0
3,Arkansas,3017804.0,231.0
4,California,39512223.0,1679.0
5,Colorado,5758736.0,209.0
6,Connecticut,3565287.0,104.0
7,Delaware,973764.0,48.0
8,District of Columbia,705749.0,166.0
9,Florida,21477737.0,1.0
10,Georgia,10617423.0,445.0
11,Hawaii,1415872.0,32.0
12,Idaho,1787065.0,35.0
13,Illinois,12671821.0,771.0
14,Indiana,6732219.0,247.0
15,Iowa,3155070.0,58.0
16,Kansas,2913314.0,93.0
17,Kentucky,4467673.0,221.0
18,Louisiana,4648794.0,522.0
19,Maine,1344212.0,20.0
20,Maryland,6045680.0,551.0
21,Massachusetts,6892503.0,146.0
22,Michigan,9986857.0,551.0
23,Minnesota,5639632.0,114.0
24,Mississippi,2976149.0,189.0
25,Missouri,6137428.0,566.0
26,Montana,1068778.0,27.0
27,Nebraska,1934408.0,45.0
28,Nevada,3080156.0,147.0
29,New Hampshire,1359711.0,33.0
30,New Jersey,8882190.0,262.0
31,New Mexico,2096829.0,146.0
32,New York,19453561.0,550.0
33,North Carolina,10488084.0,516.0
34,North Dakota,762062.0,26.0
35,Ohio,11689100.0,521.0
36,Oklahoma,3956971.0,264.0
37,Oregon,4217737.0,98.0
38,Pennsylvania,12801989.0,556.0
39,Rhode Island,1059361.0,25.0
40,South Carolina,5148714.0,445.0
41,South Dakota,884659.0,19.0
42,Tennessee,6829174.0,498.0
43,Texas,28995881.0,1379.0
44,Utah,3205958.0,66.0
45,Vermont,623989.0,11.0
46,Virginia,8535519.0,427.0
47,Washington,7614893.0,194.0
48,West Virginia,1792147.0,72.0
49,Wisconsin,5822434.0,178.0
50,Wyoming,578759.0,13.0
