states,unemployment_rate
Alabama,2.7
Alaska,6
Arizona,4.6
Arkansas,3.6
California,3.9
Colorado,2.5
Connecticut,3.7
Delaware,3.9
District of Columbia,5.3
Florida,3
Georgia,3.2
Hawaii,2.6
Idaho,2.9
Illinois,3.7
Indiana,3.2
Iowa,2.7
Kansas,3.2
Kentucky,4.3
Louisiana,4.9
Maine,2.9
Maryland,3.5
Massachusetts,2.8
Michigan,3.9
Minnesota,3.3
Mississippi,5.7
Missouri,3.3
Montana,3.4
Nebraska,3.1
Nevada,3.8
New Hampshire,2.6
New Jersey,3.5
New Mexico,4.7
New York,4
North Carolina,3.7
North Dakota,2.4
Ohio,4.2
Oklahoma,3.4
Oregon,3.7
Pennsylvania,4.5
Rhode Island,3.5
South Carolina,2.3
South Dakota,3.2
Tennessee,3.3
Texas,3.5
Utah,2.3
Vermont,2.3
Virginia,2.6
Washington,4.3
West Virginia,5
Wisconsin,3.4
Wyoming,3.7
